Soil,Plant ID,Seed,Inundation,LDW,SDW,ADW,BDW,RatioAB,RatioBA,Biggest leave dry weight,First leave dry weight,LWW,SWW,AWW,BWW,Root Wet weight used for DNA,Root Wet Weight used for Mycorrhyzhas,Root wet weight Remaining (i.e. left for drying),Water content in Leaves,IH,FH,SLAFL,SLALL
IN,1,big,Control,0.1192,0.1451,0.2643,0.2659,0.9939827,1.006053727,0.0156,0.0155,0.59,0.35,0.94,2.13,0.71,0.33,0.83,0.4708,12.5,13.2,1.364152,1.683333333
IN,3,intermediate,Control,0.0977,0.1012,0.1989,0.1044,1.905172414,0.524886878,0.016,0.01,0.58,0.42,1,1.19,0.3,0.25,0.41,0.4823,5.6,13.4,2.001970835,2.350613081
IN,4,small,Control,0.063,0.0456,0.1086,0.0213,5.098591549,0.196132597,0.0109,0.0072,0.34,0.18,0.52,0.35,0.26,NA,0.06,0.277,1.9,9.8,1.55761625,2.663453394
IN,5,intermediate,Flooded,0.0446,0.0511,0.0957,0.0763,1.254259502,0.797283177,0.0147,0.0107,0.43,0.2,0.63,0.94,0.46,NA,0.4,0.3854,6.9,7.7,0.932458514,0.994637476
IN,6,small,Control,0.0782,0.0685,0.1467,0.1276,1.14968652,0.869802318,0.0145,0.0131,0.37,0.16,0.53,0.57,0.28,0.13,0.13,0.2918,2.7,7.2,1.764788408,1.368335241
IN,7,intermediate,Drought,0.1251,0.1014,0.2265,0.1768,1.281108597,0.780573951,0.0315,0.0147,0.23,0,0.23,0.25,0.24,NA,0.01,0.1049,7,12.6,1.697044327,2.028565149
IN,8,intermediate,Control,0.0728,0.07,0.1428,0.0504,2.833333333,0.352941176,0.0126,0.0062,0.43,0.25,0.68,1.07,0.33,0.13,0.37,0.3572,6.6,6.4,3.17664629,1.563111667
IN,9,intermediate,Flooded,0.0546,0.0326,0.0872,0.0671,1.299552906,0.769495413,0.0201,0.0201,0.15,0.12,0.27,0.44,0.17,NA,0.21,0.0954,4.6,5.9,1.214618552,1.214618552
IN,10,intermediate,Drought,0.0615,0.0518,0.1133,0.0978,1.158486708,0.863195057,0.0204,0.0094,0.32,0.12,0.44,0.63,0.34,NA,,0.2585,6.1,7.8,1.783829488,3.004131551
IN,12,intermediate,Flooded,0.0943,0.0661,0.1604,0.0666,2.408408408,0.41521197,0.0224,0.0224,0.35,0.23,0.58,1.18,0.18,0.31,0.59,0.2557,3.8,9,1.614700786,1.614700786
IN,13,small,Control,0.0024,0.0292,0.0316,0.0142,2.225352113,0.449367089,0.0248,0.0248,1.68,1.9,3.58,3,0.43,,2.41,1.6776,1.5,1.3,1.100866331,1.100866331
IN,14,small,Flooded,0.08,0.1485,0.2285,0.0845,2.704142012,0.369803063,0.0298,0.0164,3.35,2.91,6.26,5.36,0.53,,4.47,3.27,7.6,27.7,1.70835477,1.952736611
IN,15,intermediate,Drought,0.0787,0.0487,0.1274,0.0782,1.62915601,0.613814757,0.0147,0.011,4.07,2.49,6.56,5.72,0.51,,5.1,3.9913,4.9,9.5,1.806215955,2.619086048
IN,18,intermediate,Flooded,0.05,0.0428,0.0928,0.0881,1.053348468,0.949353448,0.0183,0.0183,1.12,0.89,2.01,2.2,0.45,,1.71,1.07,4.9,6.1,1.256749016,1.256749016
IN,19,big,Flooded,0.1274,0.2755,0.4029,0.3157,1.276211593,0.783569124,0.0155,0.0141,1.79,1.4,3.19,2.84,0.38,0.28,1.87,1.6626,17.2,24.3,2.00727256,2.421911613
IN,20,intermediate,Drought,0.057,0.047,0.104,0.0776,1.340206186,0.746153846,0.0189,0.0136,4.06,0.63,4.69,6.48,0.51,0.4,5.05,4.003,5.1,5.2,1.47976482,2.636046825
IN,21,intermediate,Control,0.0909,0.0819,0.1728,0.1167,1.480719794,0.675347222,0.0149,0.0135,1.26,0.9,2.16,1.56,0.37,0.28,0.84,1.1691,8.2,10.1,1.830425111,2.432214765
IN,22,big,Drought,0.1091,0.0886,0.1977,0.1382,1.430535456,0.699038948,0.0269,0.014,2.61,1.38,3.99,4.11,0.51,0.44,,2.5009,5.7,12.7,1.801874414,1.934811219
IN,23,intermediate,Flooded,0.0667,0.0942,0.1609,0.1577,1.020291693,0.980111871,0.0155,0.0114,1.25,0.67,1.92,2.12,0.41,,1.5,1.1833,9.9,10.4,1.251262368,1.221363742
IN,24,small,Drought,0.0487,0.0587,0.1074,0.0516,2.081395349,0.480446927,0.0242,0.0192,2.58,1.59,4.17,3.69,0.51,0.44,2.62,2.5313,1.9,6,1.252927582,1.33298656
IN,25,small,Control,0.0339,0.0382,0.0721,0.0604,1.193708609,0.837725381,0.0066,0.0064,0.74,0.32,1.06,1.02,0.43,,0.71,0.7061,4.1,5,1.413517637,2.780275909
IN,26,small,Flooded,0.0428,0.0235,0.0663,0.0264,2.511363636,0.398190045,0.0141,0.0141,0.49,0.14,0.63,0.68,0.18,0.12,0.33,0.4472,2.2,4.6,0.98914305,0.98914305
IN,28,small,Drought,0.1161,0.0565,0.1726,0.1585,1.088958991,0.918308227,0.0324,0.0075,0.47,0.18,0.65,0.76,0.26,0.13,0.28,0.3539,5,10,1.80325128,2.390647315
IN,29,small,Drought,0.0882,0.0481,0.1363,0.0645,2.113178295,0.473220836,0.0202,0.0076,0.4,0.13,0.53,0.72,0.3,0.13,0.25,0.3118,1.8,10.1,1.358460268,2.55308736
IN,30,intermediate,Drought,0.1028,0.0844,0.1872,0.2263,0.827220504,1.208867521,0.0265,0.0101,0.56,0.33,0.89,1.27,0.42,0.22,0.58,0.4572,8.1,8.6,2.15897921,2.029460832
