ID,Inundation,CollectionTime,Soil,Nutrient,Value
1,Typical,After flooding,Sterile,Carbon,5.32
2,Typical,After flooding,Sterile,Carbon,3.61
3,Extreme,After flooding,Sterile,Carbon,6.08
4,Extreme,After flooding,Sterile,Carbon,4.63
5,None,After flooding,Sterile,Carbon,4.30
6,None,After flooding,Sterile,Carbon,5.51
7,Typical,After flooding,Non-sterile,Carbon,8.29
8,Typical,After flooding,Non-sterile,Carbon,8.30
9,Extreme,After flooding,Non-sterile,Carbon,6.54
10,Extreme,After flooding,Non-sterile,Carbon,9.85
11,None,After flooding,Non-sterile,Carbon,9.84
12,None,After flooding,Non-sterile,Carbon,12.24
1,Typical,After flooding,Sterile,Nitrogen,0.24
2,Typical,After flooding,Sterile,Nitrogen,0.22
3,Extreme,After flooding,Sterile,Nitrogen,0.19
4,Extreme,After flooding,Sterile,Nitrogen,0.24
5,None,After flooding,Sterile,Nitrogen,0.19
6,None,After flooding,Sterile,Nitrogen,0.20
7,Typical,After flooding,Non-sterile,Nitrogen,0.28
8,Typical,After flooding,Non-sterile,Nitrogen,0.27
9,Extreme,After flooding,Non-sterile,Nitrogen,0.22
10,Extreme,After flooding,Non-sterile,Nitrogen,0.26
11,None,After flooding,Non-sterile,Nitrogen,0.26
12,None,After flooding,Non-sterile,Nitrogen,0.30
1,Typical,After flooding,Sterile,Calcium,1750.67
2,Typical,After flooding,Sterile,Calcium,1697.38
3,Extreme,After flooding,Sterile,Calcium,1322.61
4,Extreme,After flooding,Sterile,Calcium,1761.87
5,None,After flooding,Sterile,Calcium,1924.75
6,None,After flooding,Sterile,Calcium,1673.77
7,Typical,After flooding,Non-sterile,Calcium,2255.01
8,Typical,After flooding,Non-sterile,Calcium,1970.89
9,Extreme,After flooding,Non-sterile,Calcium,1922.06
10,Extreme,After flooding,Non-sterile,Calcium,2223.56
11,None,After flooding,Non-sterile,Calcium,2241.99
12,None,After flooding,Non-sterile,Calcium,2586.26
1,Typical,After flooding,Sterile,Copper,0.69
2,Typical,After flooding,Sterile,Copper,0.61
3,Extreme,After flooding,Sterile,Copper,0.89
4,Extreme,After flooding,Sterile,Copper,0.60
5,None,After flooding,Sterile,Copper,1.68
6,None,After flooding,Sterile,Copper,1.34
7,Typical,After flooding,Non-sterile,Copper,0.56
8,Typical,After flooding,Non-sterile,Copper,0.52
9,Extreme,After flooding,Non-sterile,Copper,0.58
10,Extreme,After flooding,Non-sterile,Copper,0.58
11,None,After flooding,Non-sterile,Copper,1.59
12,None,After flooding,Non-sterile,Copper,1.49
1,Typical,After flooding,Sterile,Magnesium,464.09
2,Typical,After flooding,Sterile,Magnesium,452.89
3,Extreme,After flooding,Sterile,Magnesium,356.66
4,Extreme,After flooding,Sterile,Magnesium,452.98
5,None,After flooding,Sterile,Magnesium,521.37
6,None,After flooding,Sterile,Magnesium,471.88
7,Typical,After flooding,Non-sterile,Magnesium,579.88
8,Typical,After flooding,Non-sterile,Magnesium,505.83
